Claim ID,Policy ID,Claimant Id,Vehicle ID,Claim Amount,Claim Description
1016,1015072,48946,86,112800,Loss of Value to Vehicle
319,1016048,2218184,84,108580,Loss of Value to Vehicle
162,1017411,20411,85,106720,Loss of Value to Vehicle
1014,1027330,30330,87,104580,Injury by Uninsured or Underinsured Defendant
352,1000458,3458,73,6580,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
671,1018847,21847,82,96280,Loss of Value to Vehicle
232,1013265,16265,86,87420,Loss of Value to Vehicle
884,1000662,3662,3,1650,Bodily Injury Claims
1075,1018657,21657,80,82500,Loss of Value to Vehicle
654,1017159,20159,79,78000,Loss of Value to Vehicle
28,1004622,7622,79,77350,Loss of Value to Vehicle
825,1000815,3815,14,2280,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
284,1009019,12019,82,73870,Loss of Value to Vehicle
1227,1001312,4312,59,2660,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1088,1005741,8741,83,69720,Loss of Value to Vehicle
1289,1027330,30330,87,69720,Injury by Uninsured or Underinsured Defendant
577,1008541,11541,77,65450,Loss of Value to Vehicle
243,1027006,30006,77,64900,Loss of Value to Vehicle
146,1001983,2218067,75,64000,Loss of Value to Vehicle
584,1011828,48015,87,61420,Personal Injury
549,1019242,22242,76,61360,Loss of Value to Vehicle
1238,1015302,18302,79,60450,Loss of Value to Vehicle
1146,1002888,5888,85,59800,Injury by Uninsured or Underinsured Defendant
1336,1026568,47326,75,56500,Loss of Value to Vehicle
927,1010214,13214,73,56400,Loss of Value to Vehicle
147,1015976,46635,84,54290,Personal Injury
1205,1015302,18302,79,53950,Loss of Value to Vehicle
700,1005984,8984,86,53580,Injury by Uninsured or Underinsured Defendant
1135,1026568,47326,75,53500,Loss of Value to Vehicle
42,1017472,20472,82,53120,Personal Injury
1050,1013510,16510,75,51000,Loss of Value to Vehicle
618,1007745,140087,72,50760,Loss of Value to Vehicle
1175,1004636,7636,84,50730,Injury by Uninsured or Underinsured Defendant
1063,1022676,25676,82,50630,Personal Injury
126,1008672,11672,61,50181,Loss of Value to Vehicle
302,1008213,11213,70,49950,Loss of Value to Vehicle
1283,1017472,20472,82,49800,Personal Injury
1066,1001353,4353,29,6210,Injury by Uninsured or Underinsured Defendant
812,1025252,28252,84,48060,Personal Injury
446,1028386,31386,59,47500,Loss of Value to Vehicle
572,1027754,30754,82,47310,Injury by Uninsured or Underinsured Defendant
1057,1029668,32668,85,46920,Personal Injury
739,1004464,7464,82,46480,Injury by Uninsured or Underinsured Defendant
936,1027959,30959,82,46480,Injury by Uninsured or Underinsured Defendant
795,1024372,27372,78,76110,Loss of Value to Vehicle
1160,1022333,48325,60,45934,Loss of Value to Vehicle
627,1001507,4507,37,35840,Loss of Value to Vehicle
493,1013360,16360,83,43990,Personal Injury
429,1026673,29673,61,48625,Loss of Value to Vehicle
1317,1027035,30035,85,43240,Personal Injury
1130,1005733,8733,82,43160,Injury by Uninsured or Underinsured Defendant
225,1022085,25085,71,41400,Loss of Value to Vehicle
1213,1021371,24371,71,41400,Loss of Value to Vehicle
1346,1002145,5145,75,11500,Property Damage Claims
882,1007033,10033,57,40950,Loss of Value to Vehicle
946,1004639,7639,65,40850,Loss of Value to Vehicle
661,1015411,18411,85,40480,Personal Injury
997,1001574,48991,85,39560,Injury by Uninsured or Underinsured Defendant
84,1020373,23373,55,39440,Loss of Value to Vehicle
134,1002145,5145,75,9500,Property Damage Claims
754,1027035,30035,85,38640,Personal Injury
1313,1018643,21643,46,38100,Loss of Value to Vehicle
559,1001533,4533,51,37620,Loss of Value to Vehicle
327,1006867,9867,55,37400,Loss of Value to Vehicle
300,1002906,49247,78,37170,Personal Injury
1089,1023482,26482,48,36800,Loss of Value to Vehicle
755,1008016,11016,87,36520,Reimbursement for Property Repairs
682,1007408,2215709,48,36480,Loss of Value to Vehicle
991,1001981,4981,86,46060,Injury by Uninsured or Underinsured Defendant
567,1028499,31499,82,35690,Injury by Uninsured or Underinsured Defendant
402,1002632,5632,72,7050,Bodily Injury Claims
47,1023337,26337,61,34621,Loss of Value to Vehicle
460,1002636,5636,40,9800,Injury by Uninsured or Underinsured Defendant
1051,1000575,47712,83,34030,Injury by Uninsured or Underinsured Defendant
244,1016199,19199,44,33930,Loss of Value to Vehicle
1314,1014754,17754,79,33800,Injury by Uninsured or Underinsured Defendant
438,1010600,13600,39,33600,Loss of Value to Vehicle
192,1024521,27521,52,33222,Loss of Value to Vehicle
871,1007147,48697,87,33200,Reimbursement for Property Repairs
100,1003629,6629,46,33000,Loss of Value to Vehicle
1258,1024521,27521,52,32883,Loss of Value to Vehicle
1293,1002639,5639,54,7140,Property Damage Claims
605,1020438,23438,38,32480,Loss of Value to Vehicle
1031,1012688,15688,52,32205,Loss of Value to Vehicle
500,1001644,4644,51,31680,Loss of Value to Vehicle
509,1000400,3400,32,31200,Loss of Value to Vehicle
501,1027024,47651,44,31030,Loss of Value to Vehicle
322,1008930,11930,75,31000,Personal Injury
983,1013272,16272,75,31000,Personal Injury
1106,1005889,8889,54,30940,Loss of Value to Vehicle
1045,1010040,13040,34,30856,Loss of Value to Vehicle
1253,1006011,9011,44,30160,Loss of Value to Vehicle
1004,1023226,26226,33,30000,Loss of Value to Vehicle
1077,1011343,133950,80,30000,Injury by Uninsured or Underinsured Defendant
1105,1021632,24632,26,29900,Loss of Value to Vehicle
552,1025471,2217162,74,29890,Injury by Uninsured or Underinsured Defendant
151,1002639,5639,54,6460,Property Damage Claims
68,1007178,10178,55,29240,Loss of Value to Vehicle
949,1002811,5811,20,3360,Bodily Injury Claims
23,1003197,45967,43,29000,Loss of Value to Vehicle
120,1021764,48839,42,29000,Loss of Value to Vehicle
265,1002940,5940,30,2160,Bodily Injury Claims
337,1009638,12638,33,28500,Loss of Value to Vehicle
604,1018643,21643,46,28500,Loss of Value to Vehicle
56,1002941,5941,40,13720,Injury by Uninsured or Underinsured Defendant
783,1019760,22760,87,28220,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1168,1014986,141243,76,44720,Loss of Value to Vehicle
449,1016873,19873,85,27600,Injury by Uninsured or Underinsured Defendant
381,1003307,6307,32,1680,Third Party Car Insurance Claims
1329,1009638,12638,33,27250,Loss of Value to Vehicle
1250,1022839,25839,75,26500,Personal Injury
1277,1022839,25839,75,26500,Personal Injury
420,1006183,9183,21,26400,Loss of Value to Vehicle
270,1003406,6406,57,2100,Bodily Injury Claims
372,1020427,23427,85,25760,Personal Injury
1155,1011042,14042,30,25680,Loss of Value to Vehicle
686,1022839,25839,75,25500,Personal Injury
917,1003463,6463,10,1700,Third Party Car Insurance Claims
1003,1001100,4100,38,25480,Loss of Value to Vehicle
701,1010996,13996,65,25370,Injury by Uninsured or Underinsured Defendant
129,1002537,2216810,74,24990,Personal Injury
288,1028394,31394,48,40960,Loss of Value to Vehicle
475,1006631,114026,84,24920,Personal Injury
1113,1003649,6649,54,5780,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
979,1024892,2218252,87,24900,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1029,1009126,12126,87,24900,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1046,1016911,19911,85,24840,Reimbursement for Property Repairs
1154,1001629,4629,63,24800,Personal Injury
910,1014754,17754,79,24700,Injury by Uninsured or Underinsured Defendant
6,1004884,7884,75,24500,Personal Injury
908,1023336,26336,86,24440,Injury by Uninsured or Underinsured Defendant
1223,1013933,2220446,86,24440,Property Damage Claims
25,1003945,6945,46,2100,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
854,1006011,9011,44,24360,Loss of Value to Vehicle
335,1004034,7034,77,3300,Third Party Car Insurance Claims
499,1002989,5989,59,24320,Personal Injury
216,1004079,7079,20,13650,Personal Injury
677,1019904,22904,73,23970,Personal Injury
973,1023997,26997,85,23920,Personal Injury
494,1011819,14819,33,23750,Loss of Value to Vehicle
1301,1010342,13342,17,23730,Loss of Value to Vehicle
1331,1019723,22723,74,23520,Injury by Uninsured or Underinsured Defendant
768,1018767,143980,86,23500,Injury by Uninsured or Underinsured Defendant
926,1004112,7112,41,2565,Third Party Car Insurance Claims
1226,1021459,24459,76,23400,Personal Injury
1264,1020481,23481,87,23240,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
359,1013764,16764,17,23100,Loss of Value to Vehicle
573,1004305,7305,79,10400,Third Party Car Insurance Claims
392,1029172,32172,13,22990,Loss of Value to Vehicle
1310,1011756,47236,35,27810,Loss of Value to Vehicle
1319,1026184,133219,73,22560,Personal Injury
1054,1000736,3736,68,22440,Personal Injury
64,1004431,7431,2,4940,Personal Injury
540,1008289,11289,76,21840,Injury by Uninsured or Underinsured Defendant
905,1006470,9470,30,21600,Loss of Value to Vehicle
523,1028361,31361,8,21420,Loss of Value to Vehicle
1198,1028643,31643,80,25500,Injury by Uninsured or Underinsured Defendant
1188,1006626,9626,85,21160,Property Damage Claims
519,1026184,133219,73,21150,Personal Injury
484,1004277,7277,68,21120,Injury by Uninsured or Underinsured Defendant
784,1027765,30765,75,21000,Injury by Uninsured or Underinsured Defendant
756,1017061,20061,23,20900,Loss of Value to Vehicle
869,1004539,7539,45,3190,Bodily Injury Claims
