"Driver.ID","Vehicle.ID","Vehicle.Model.Year"
12972,43,2005
17384,7,2005
3500,29,2005
3618,25,2005
6746,55,2005
8270,63,2005
8473,63,2005
11385,32,2005
14362,22,2005
15870,69,2005
16326,75,2005
21473,42,2005
22226,75,2005
22405,65,2008
25072,39,2005
26830,34,2005
27811,63,2005
31304,38,2005
3369,79,2005
3434,8,2005
5097,69,2005
5384,3,2005
7039,13,2005
7504,31,2005
8275,69,2005
8991,50,2005
10980,78,2005
11264,21,2005
11690,78,2005
13065,79,2005
14634,40,2005
15744,16,2005
16115,38,2005
16371,10,2005
17467,72,2005
17493,83,2005
18387,72,2005
18392,58,2005
18966,49,2005
19454,64,2005
19579,16,2005
20535,75,2005
22425,68,2005
23391,56,2005
23661,53,2005
24044,2,2005
24151,44,2005
25111,82,2005
25735,85,2005
26673,72,2005
28171,72,2005
31280,64,2005
31858,82,2005
32927,74,2005
8361,72,2005
8918,30,2005
12498,74,2005
19996,51,2005
22256,84,2005
22702,47,2005
25390,48,2005
28065,78,2005
29584,36,2005
29775,72,2005
4246,58,2005
5731,61,2005
6369,71,2005
6667,75,2005
8741,83,2005
8775,49,2005
9351,59,2005
10151,47,2005
10489,63,2005
11386,62,2005
12160,11,2005
12250,33,2005
12812,54,2005
15321,53,2005
15673,48,2005
15969,48,2005
17464,62,2005
17541,57,2005
21422,76,2005
22177,48,2005
22839,42,2005
26093,8,2005
27595,63,2005
27702,23,2005
29389,65,2005
30376,85,2005
32235,21,2005
32923,57,2005
4508,12,2005
17984,8,2005
5256,32,2005
9423,70,2005
10847,43,2005
18860,57,2005
20075,55,2005
20185,66,2005
20677,65,2005
27609,38,2005
28966,54,2005
3020,78,2005
3081,7,2005
5168,34,2005
5442,23,2005
5821,85,2005
6850,40,2005
7257,79,2005
7572,53,2005
7900,44,2005
8399,48,2005
8719,81,2005
11171,87,2005
11944,50,2005
12462,75,2005
12633,79,2005
13361,65,2005
13439,78,2005
13667,71,2005
14609,58,2005
15657,59,2005
15770,55,2005
16139,79,2005
16563,36,2005
17456,82,2005
17617,73,2005
19803,51,2005
21372,35,2005
22299,65,2005
24144,77,2005
24394,5,2005
25629,65,2005
26087,52,2005
26462,68,2005
26981,36,2005
27989,16,2005
30547,80,2005
30683,40,2005
30845,81,2005
30973,75,2005
32132,26,2005
3035,81,2005
5591,67,2005
6964,77,2005
8050,65,2005
17630,79,2005
25378,77,2005
26712,76,2005
27287,60,2005
32814,86,2005
32990,85,2005
3462,68,2005
3628,78,2005
3788,30,2005
4011,20,2005
5024,67,2005
5368,59,2005
5396,49,2005
5399,41,2005
5556,54,2005
5843,27,2005
6355,65,2005
7356,59,2005
8351,52,2005
10084,64,2005
11321,60,2005
12308,75,2005
13329,23,2005
14573,8,2005
16322,8,2005
16523,79,2005
16623,63,2005
18237,78,2005
19072,83,2005
19176,48,2005
19434,19,2005
20811,20,2005
21067,34,2005
24393,25,2005
24982,32,2005
25980,42,2005
27558,59,2005
28548,66,2005
30292,60,2005
30774,65,2005
14867,37,2005
5550,56,2005
6006,44,2005
6502,3,2005
7175,72,2005
8494,68,2005
9050,76,2005
9084,33,2005
12038,79,2005
14411,60,2005
21670,54,2005
26094,67,2005
26172,49,2005
26665,13,2005
28383,77,2005
28842,1,2005
4256,61,2005
5515,4,2005
6210,60,2005
6543,85,2005
6705,19,2005
7137,45,2005
8551,81,2005
9273,1,2005
9952,58,2005
10453,51,2005
