Location ID,ZIP,Primary_City,State,County,Estimated_population_2013
549,91354,Valencia,CA,Los Angeles County,"25,573"
545,92604,Irvine,CA,Orange County,"25,768"
522,90803,Long Beach,CA,Los Angeles County,"26,984"
537,94603,Oakland,CA,Alameda County,"26,193"
424,93292,Visalia,CA,Tulare County,"30,378"
489,94941,Mill Valley,CA,Marin County,"27,875"
532,94124,San Francisco,CA,San Francisco County,"26,313"
573,94602,Oakland,CA,Alameda County,"24,772"
538,95973,Chico,CA,Butte County,"26,104"
334,94928,Rohnert Park,CA,Sonoma County,"34,823"
416,92660,Newport Beach,CA,Orange County,"30,639"
428,92653,Laguna Hills,CA,Orange County,"30,278"
455,92373,Redlands,CA,San Bernardino County,"29,311"
516,90713,Lakewood,CA,Los Angeles County,"27,153"
433,94590,Vallejo,CA,Solano County,"30,107"
490,90230,Culver City,CA,Los Angeles County,"27,789"
500,91505,Burbank,CA,Los Angeles County,"27,626"
520,93706,Fresno,CA,Fresno County,"27,098"
527,95842,Sacramento,CA,Sacramento County,"26,577"
585,92883,Corona,CA,Riverside County,"24,419"
383,91763,Montclair,CA,San Bernardino County,"31,947"
386,90045,Los Angeles,CA,Los Angeles County,"31,846"
409,95205,Stockton,CA,San Joaquin County,"30,904"
415,95826,Sacramento,CA,Sacramento County,"30,641"
546,92311,Barstow,CA,San Bernardino County,"25,765"
328,90505,Torrance,CA,Los Angeles County,"35,130"
369,95991,Yuba City,CA,Sutter County,"32,772"
460,94606,Oakland,CA,Alameda County,"29,161"
600,92120,San Diego,CA,San Diego County,"23,818"
317,95112,San Jose,CA,Santa Clara County,"35,732"
336,95901,Marysville,CA,Yuba County,"34,658"
368,95060,Santa Cruz,CA,Santa Cruz County,"32,794"
413,93012,Camarillo,CA,Ventura County,"30,646"
427,95401,Santa Rosa,CA,Sonoma County,"30,280"
440,90712,Lakewood,CA,Los Angeles County,"29,843"
463,94070,San Carlos,CA,San Mateo County,"29,058"
476,90601,Whittier,CA,Los Angeles County,"28,300"
519,91325,Northridge,CA,Los Angeles County,"27,105"
523,94598,Walnut Creek,CA,Contra Costa County,"26,916"
526,93662,Selma,CA,Fresno County,"26,710"
540,95131,San Jose,CA,Santa Clara County,"25,993"
552,95337,Manteca,CA,San Joaquin County,"25,476"
299,95240,Lodi,CA,San Joaquin County,"36,766"
342,93711,Fresno,CA,Fresno County,"34,124"
348,95070,Saratoga,CA,Santa Clara County,"33,872"
352,94534,Fairfield,CA,Solano County,"33,707"
391,95993,Yuba City,CA,Sutter County,"31,544"
434,93552,Palmdale,CA,Los Angeles County,"30,075"
459,95757,Elk Grove,CA,Sacramento County,"29,166"
488,90020,Los Angeles,CA,Los Angeles County,"27,911"
518,92551,Moreno Valley,CA,Riverside County,"27,118"
539,93001,Ventura,CA,Ventura County,"26,002"
364,91780,Temple City,CA,Los Angeles County,"33,012"
420,92308,Apple Valley,CA,San Bernardino County,"30,484"
524,92673,San Clemente,CA,Orange County,"26,823"
583,92543,Hemet,CA,Riverside County,"24,499"
481,91792,West Covina,CA,Los Angeles County,"28,124"
525,90680,Stanton,CA,Orange County,"26,785"
531,96001,Redding,CA,Shasta County,"26,431"
330,95209,Stockton,CA,San Joaquin County,"35,065"
332,90046,Los Angeles,CA,Los Angeles County,"34,964"
339,94568,Dublin,CA,Alameda County,"34,456"
