Policy Number,Policy Effective Date,Policy Expiration Date,Agency ID,Underwriting Company ID,Cancel Date
1001758,12/10/2013,12/10/2014,7,3,6/22/2014
1002901,9/21/2013,9/21/2014,17,1,NULL
1009972,8/22/2013,8/22/2014,8,7,NULL
1014384,4/22/2014,4/22/2015,16,1,NULL
1014425,9/5/2013,9/5/2014,9,1,NULL
1015462,11/4/2013,11/4/2014,11,2,NULL
1015662,9/16/2013,9/16/2014,11,5,NULL
1022890,5/19/2014,5/19/2015,18,2,8/27/2014
1024339,1/10/2014,1/10/2015,16,6,NULL
1027834,6/13/2013,6/13/2014,4,5,NULL
1000001,3/9/2014,3/9/2015,11,4,NULL
1000044,7/16/2013,7/16/2014,10,6,NULL
1000500,10/11/2013,10/11/2014,6,7,NULL
1000618,8/5/2013,8/5/2014,14,4,NULL
1000896,7/24/2013,7/24/2014,20,3,NULL
1000922,1/9/2014,1/9/2015,1,4,NULL
1001182,11/26/2013,11/26/2014,7,2,NULL
1001655,10/26/2013,10/26/2014,20,7,NULL
1002238,6/16/2013,6/16/2014,16,7,NULL
1002489,1/24/2014,1/24/2015,3,4,NULL
1003074,1/31/2014,1/31/2015,9,3,NULL
1003746,3/3/2014,3/3/2015,20,7,NULL
1003979,10/13/2013,10/13/2014,1,5,NULL
1004827,11/14/2013,11/14/2014,15,3,8/13/2014
1004851,12/17/2013,12/17/2014,19,3,NULL
1005010,7/4/2013,7/4/2014,19,3,NULL
1005270,11/17/2013,11/17/2014,11,5,NULL
1005473,10/1/2013,10/1/2014,20,7,NULL
1005727,10/8/2013,10/8/2014,5,4,NULL
1005745,2/7/2014,2/7/2015,8,7,NULL
1006400,2/8/2014,2/8/2015,10,2,NULL
1006837,9/15/2013,9/15/2014,6,7,NULL
1007052,1/23/2014,1/23/2015,4,6,NULL
1007130,9/3/2013,9/3/2014,1,6,NULL
1007240,8/9/2013,8/9/2014,8,2,NULL
1007266,5/29/2014,5/29/2015,11,1,NULL
1007613,12/1/2013,12/1/2014,5,2,NULL
1008153,6/25/2013,6/25/2014,14,2,NULL
1008331,11/1/2013,11/1/2014,11,5,NULL
1008385,9/27/2013,9/27/2014,18,1,7/15/2014
1009455,9/23/2013,9/23/2014,20,5,NULL
1009503,9/18/2013,9/18/2014,10,7,NULL
1009902,1/18/2014,1/18/2015,5,1,NULL
1010268,2/12/2014,2/12/2015,14,6,NULL
