Record ID,Policy Number,Driver ID,Vehicle ID,Vehicle Model Year,Location ID,Premium
3,1009972,12972,43,2005,NULL,269
4,1014384,17384,7,2005,228,251
13,1000500,3500,29,2005,249,249
14,1000618,3618,25,2005,365,280
22,1003746,6746,55,2005,237,299
27,1005270,8270,63,2005,195,321
28,1005473,8473,63,2005,566,336
40,1008385,11385,32,2005,40,303
45,1011362,14362,22,2005,79,221
48,1012870,15870,69,2005,32,248
50,1013326,16326,75,2005,415,308
64,1018473,21473,42,2005,76,244
68,1019226,22226,75,2005,353,262
70,1019405,22405,65,2008,70,322
81,1022072,25072,39,2005,326,331
87,1023830,26830,34,2005,87,227
91,1024811,27811,63,2005,471,341
103,1028304,31304,38,2005,78,275
113,1000369,3369,79,2005,293,270
114,1000434,3434,8,2005,47,234
127,1002097,5097,69,2005,97,302
129,1002384,5384,3,2005,276,254
139,1004039,7039,13,2005,227,223
147,1004504,7504,31,2005,132,264
154,1005275,8275,69,2005,479,289
163,1005991,8991,50,2005,185,268
177,1007980,10980,78,2005,133,241
181,1008264,11264,21,2005,175,311
188,1008690,11690,78,2005,377,220
204,1010065,13065,79,2005,517,368
219,1011634,14634,40,2005,61,193
228,1012744,15744,16,2005,412,305
232,1013115,16115,38,2005,194,333
235,1013371,16371,10,2005,244,367
246,1014467,17467,72,2005,485,385
247,1014493,17493,83,2005,40,214
253,1015387,18387,72,2005,472,324
254,1015392,18392,58,2005,264,256
259,1015966,18966,49,2005,412,245
269,1016454,19454,64,2005,218,371
272,1016579,19579,16,2005,275,315
281,1017535,20535,75,2005,529,289
303,1019425,22425,68,2005,364,409
317,1020391,23391,56,2005,213,353
320,1020661,23661,53,2005,72,355
323,1021044,24044,2,2005,307,256
324,1021151,24151,44,2005,98,309
335,1022111,25111,82,2005,513,254
342,1022735,25735,85,2005,270,354
354,1023673,26673,72,2005,521,297
380,1025171,28171,72,2005,154,310
416,1028280,31280,64,2005,339,346
419,1028858,31858,82,2005,597,370
431,1029927,32927,74,2005,524,177
456,1005361,8361,72,2005,468,285
457,1005918,8918,30,2005,302,260
466,1009498,12498,74,2005,232,338
488,1016996,19996,51,2005,481,365
495,1019256,22256,84,2005,367,269
496,1019702,22702,47,2005,151,293
502,1022390,25390,48,2005,28,273
509,1025065,28065,78,2005,164,312
514,1026584,29584,36,2005,342,392
516,1026775,29775,72,2005,199,324
535,1001246,4246,58,2005,231,284
551,1002731,5731,61,2005,440,261
553,1003369,6369,71,2005,441,318
560,1003667,6667,75,2005,107,326
579,1005741,8741,83,2005,18,363
581,1005775,8775,49,2005,536,365
590,1006351,9351,59,2005,103,508
595,1007151,10151,47,2005,9,327
598,1007489,10489,63,2005,585,345
608,1008386,11386,62,2005,525,265
617,1009160,12160,11,2005,291,331
619,1009250,12250,33,2005,358,285
624,1009812,12812,54,2005,178,390
652,1012321,15321,53,2005,72,276
657,1012673,15673,48,2005,208,488
661,1012969,15969,48,2005,2,423
674,1014464,17464,62,2005,106,280
676,1014541,17541,57,2005,598,402
715,1018422,21422,76,2005,94,319
719,1019177,22177,48,2005,294,259
728,1019839,22839,42,2005,208,198
768,1023093,26093,8,2005,389,357
782,1024595,27595,63,2005,273,266
784,1024702,27702,23,2005,80,186
806,1026389,29389,65,2005,586,317
815,1027376,30376,85,2005,174,333
832,1029235,32235,21,2005,38,298
839,1029923,32923,57,2005,558,263
841,1001508,4508,12,2005,217,251
847,1014984,17984,8,2005,311,317
860,1002256,5256,32,2005,129,268
871,1006423,9423,70,2005,558,320
874,1007847,10847,43,2005,368,260
891,1015860,18860,57,2005,354,262
899,1017075,20075,55,2005,45,286
900,1017185,20185,66,2005,519,311
904,1017677,20677,65,2005,92,461
919,1024609,27609,38,2005,226,323
921,1025966,28966,54,2005,5,250
931,1000020,3020,78,2005,171,280
933,1000081,3081,7,2005,120,218
955,1002168,5168,34,2005,423,469
959,1002442,5442,23,2005,6,307
966,1002821,5821,85,2005,315,232
971,1003850,6850,40,2005,120,305
975,1004257,7257,79,2005,112,287
981,1004572,7572,53,2005,17,276
984,1004900,7900,44,2005,102,316
993,1005399,8399,48,2005,72,349
1001,1005719,8719,81,2005,598,276
1026,1008171,11171,87,2005,310,372
1035,1008944,11944,50,2005,105,322
1042,1009462,12462,75,2005,507,281
1044,1009633,12633,79,2005,582,283
1049,1010361,13361,65,2005,297,329
1050,1010439,13439,78,2005,61,339
1053,1010667,13667,71,2005,118,401
1065,1011609,14609,58,2005,300,292
1078,1012657,15657,59,2005,320,210
1081,1012770,15770,55,2005,535,298
1083,1013139,16139,79,2005,336,307
1086,1013563,16563,36,2005,308,264
1103,1014456,17456,82,2005,430,332
1105,1014617,17617,73,2005,539,309
1124,1016803,19803,51,2005,321,342
1145,1018372,21372,35,2005,161,288
1159,1019299,22299,65,2005,102,249
1172,1021144,24144,77,2005,24,282
1174,1021394,24394,5,2005,85,414
1189,1022629,25629,65,2005,91,271
1195,1023087,26087,52,2005,573,268
1200,1023462,26462,68,2005,140,367
1207,1023981,26981,36,2005,62,362
1216,1024989,27989,16,2005,230,241
1247,1027547,30547,80,2005,35,326
1250,1027683,30683,40,2005,352,325
1254,1027845,30845,81,2005,501,305
1255,1027973,30973,75,2005,522,272
1268,1029132,32132,26,2005,371,307
1284,1000035,3035,81,2005,171,299
1287,1002591,5591,67,2005,482,281
1290,1003964,6964,77,2005,151,369
1293,1005050,8050,65,2005,443,280
1313,1014630,17630,79,2005,388,213
1340,1022378,25378,77,2005,481,260
1342,1023712,26712,76,2005,567,277
1344,1024287,27287,60,2005,330,319
1360,1029814,32814,86,2005,91,354
1361,1029990,32990,85,2005,16,356
1366,1000462,3462,68,2005,566,237
1370,1000628,3628,78,2005,479,211
1373,1000788,3788,30,2005,114,260
1376,1001011,4011,20,2005,145,280
1387,1002024,5024,67,2005,599,331
1396,1002368,5368,59,2005,152,294
1398,1002396,5396,49,2005,576,298
1399,1002399,5399,41,2005,225,320
1402,1002556,5556,54,2005,532,252
1404,1002843,5843,27,2005,290,290
1408,1003355,6355,65,2005,13,225
