"Vehicle.ID","Car.Make","Model","Average.Price"
1,"Nissan","Versa","11000"
2,"Chevrolet","Spark","13000"
3,"Chevrolet","Sonic","15000"
4,"Mazda","Mazda3","16000"
5,"Mitsubishi","Mirage","16000"
6,"Nissan","Sentra","16000"
7,"Dodge","Dart","17000"
8,"Hyundai","Elantra","17000"
9,"Jeep","Renegare","17000"
10,"Jeep","Patriot","17000"
11,"TOYOTA","Yaris","17000"
12,"Mitsubishi","Lancer","18000"
13,"Jeep","Compass","19000"
14,"TOYOTA","Corolla iM","19000"
15,"Dodge","Journey","20000"
16,"Kia","Kia Forte","20000"
17,"Land Rover","EVOQUE","21000"
18,"Mazda","CX-5","21000"
19,"Mazda","Mazda6","21000"
20,"Mazda","Mazda5","21000"
21,"Chevrolet","Malibu","22000"
22,"Ford","Focus SE","22000"
23,"Honda","Accord","22000"
24,"Mitsubishi","MiEV","22000"
25,"Nissan","Altima","22000"
26,"Dodge","Grand Caravan","23000"
27,"Honda","CRV","23000"
28,"Jeep","Wrangler","23000"
29,"Jeep","Cherokee","23000"
30,"Chrysler","200 Series","24000"
31,"Ford","Fusion","24000"
32,"Ford","C-Max Hybrid","24000"
33,"Honda","Civic","25000"
34,"Dodge","Challenger","26600"
35,"Chevrolet","Impala","27000"
36,"Acura","ILX","28000"
37,"Honda","Odyssey","28000"
38,"Honda","Pilot","28000"
39,"Mitsubishi","OutLander","28000"
40,"TOYOTA","Prius","28000"
41,"BMW","228i","28500"
42,"Ford","Flex","29000"
43,"Jeep","Grand Cherokee","29000"
44,"Mazda","CX-9","29000"
45,"TOYOTA","Camry","29000"
46,"Chrysler","Town and County","30000"
47,"Kia","Kia Sportage","30000"
48,"Acura","TLX","32000"
49,"Chrysler","300 Series","32000"
50,"Nissan","Maxima","32000"
51,"Chevrolet","Volt","33000"
52,"Infiniti","Q50","33900"
53,"BMW","328i","34000"
54,"Hyundai","Azera","34000"
55,"Jaguar","XE","34000"
56,"Acura","RDX","35000"
57,"Kia","Kia Sorento","35000"
58,"TOYOTA","RAV4","35000"
59,"BMW","X3","38000"
60,"Infiniti","Q60","38600"
61,"Audi","A3 SportBack","38900"
62,"Mercedes-Benz","C Class Sedan","39000"
63,"Jaguar","F-PACE","40000"
64,"Audi","A5 Coupe","42000"
65,"Acura","MDX","43000"
66,"Audi","S3","43000"
67,"Infiniti","QX60","43000"
68,"Ford","Expedition","44000"
69,"Audi","Q5","45000"
70,"Infiniti","QX70","45000"
71,"Land Rover","New Discovery","46000"
72,"Jaguar","XF","47000"
73,"TOYOTA","Sienna","47000"
74,"Infiniti","Q70","49000"
75,"Land Rover","LR4","50000"
76,"Mercedes-Benz","E Class Sedan","52000"
77,"BMW","X5","55000"
78,"Acura","RLX","59000"
79,"BMW","535i","65000"
80,"Lexus","LS","75000"
81,"Land Rover","Range Rover","80000"
82,"Jaguar","XJ","83000"
83,"Lexus","GS","83000"
84,"Lexus","LX","89000"
85,"BMW","650 Grand Coupe","92000"
86,"Mercedes-Benz","S Class Sedan","94000"
87,"Mercedes-Benz","Maybatch","166000"
